FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
2,70	2,70	0,01	0,00	1,840				-1,747	-2,867	16,690	-0,0417	-0,068	0,398		1,840				-0,011	-8,129	-370,119	-2,6250E-4	-0,194	-8,836	
2,72	2,72	0,01	0,01	1,850	99,43	99,75	-0,32								1,850	99,36	99,76	-0,41							
2,75	2,75	0,01	0,01	1,860				-1,800	-2,553	15,708	-0,0430	-0,061	0,375		1,860				-0,251	-14,883	-269,981	-0,0060	-0,355	-6,445	
2,77	2,77	0,01	0,01	1,880				-1,849	-2,238	16,690	-0,0441	-0,053	0,398		1,880				-0,606	-18,928	-122,719	-0,0145	-0,452	-2,930	
2,80	2,80	0,01	0,01	1,900	99,45	99,75	-0,30	-1,890	-1,885	18,653	-0,0451	-0,045	0,445	24,5	1,900	98,47	99,76	-1,29	-1,008	-19,792	37,306	-0,0241	-0,472	0,891	24,6
2,82	2,82	0,01	0,01	1,920				-1,924	-1,492	19,635	-0,0459	-0,036	0,469		1,920				-1,398	-17,436	180,642	-0,0334	-0,416	4,312	
2,84	2,84	0,01	0,01	1,940				-1,949	-1,100	18,653	-0,0465	-0,026	0,445		1,940				-1,706	-12,566	281,762	-0,0407	-0,300	6,727	
2,87	2,87	0,01	0,01	1,950	99,47	99,75	-0,29								1,950	98,57	99,76	-1,19							
2,89	2,89	0,01	0,01	1,960				-1,968	-0,746	17,671	-0,0470	-0,018	0,422		1,960				-1,901	-6,165	338,703	-0,0454	-0,147	8,086	
2,92	2,92	0,01	0,01	1,980				-1,979	-0,393	17,671	-0,0472	-0,009	0,422		1,980				-1,953	0,982	354,411	-0,0466	0,023	8,461	
2,94	2,94	0,01	0,01	2,000	99,49	99,75	-0,26	-1,984	-0,039	18,653	-0,0474	-9,375E-4	0,445	24,5	2,000	99,65	99,76	-0,11	-1,861	8,011	327,904	-0,0444	0,191	7,828	24,6
